Emotion,keywords
surprise,quot  rehearsal fusion band tonightexcited worship set tom nightquot excited tonight :)
sadness,miss old cartoon network nickelodeon
sadness,going vacation texas summer unable registration
joy,overwhelmed scene  
sadness,mccolgan  slumped deep dejection  said :  bad race 
neutral,’ plot new movie 
joy,obtained good marks subject failed before
joy,omfg opened fridge discovered screme egg 2 hours ago completely forgotten it pure
fear,warning: continue idea attention soon experience itcheryl janecky #loa #anxiety
anger,  2 greatest band times creators heavy rock roll satisfaction 2nd best song time
joy,ah ta aqui em casa vamo madruga hoje lol
joy,restaurant boyfriend saw best female friend seeing weeks rejoyced hugged long talk
anger,impression arouse anger see angry respects ~richard m nixon
sadness,damn wanted blondies opened fridge butter
anger, rule 
joy,road recovery starts self [re]discovery
joy,  done :d bon bah maintenant il ne te reste plus quà réviser pour les finals
fear,u overcome physical amp emotional urges u arrived mind sphere brain use it #myprotection
joy,night twitter family sleeping math final means math ever anatomies turn try kill me
joy,study grind calculus starts tomorrow
neutral,oh  yes
surprise,la sncf nest pas en grève
surprise,woooooooo tickets successfully printed leave disneyland 24 hrs kids know
surprise,  absolutely wonderful love muchyoure amazing :)
fear,heartstopping moment think pulled headphones silent library
sadness,jessica felt flustered  felt devastated 
fear,ffalse eevidence aappearing rreal
joy,ok  want bring 
joy,tomorrow gonna suck ass
neutral,shoot pool 
joy,lifert   long time coming cuhz #joy
neutral,yes   magazine arrives post beginning month  buy magazines 
joy,warden wife  owners siamese cat  overjoyed emily reluctantly fed saucer milk  saying stay night 
surprise,  best jungle theme party ever need new theme year
fear,distressed anxious separated friends  rapidly developed colic 
joy,delicious dinner expert hand   waiting home
surprise,chercher ses filles lecole pour les emmener au mac #jadore
fear,happened  d thought  nervous tingle fingers 
sadness,let live senior year againplease:(ill
sadness,’ sorry  jim 
joy,hope god richly provides enjoyment 1timothy 6:17
joy,ew feel like wanna puke practice like 20 minutes
fear,#faith equivalent power moves backward second moves forward #choose
joy,anxiously achingly lovingly tho firm precepts contrite amp humble heart receive boundless
fear,quotdj ger schaeuble: knows happen euro failsquot lt good confidence
sadness,child 9 years old died stupid way fell place 1 metre high
neutral,bye 
fear,gorgeous bitch cuuuuhrazy son
sadness,watching sad film affected deeply
sadness,brazilian lover looking increasingly disconsolate 
neutral,yes  going university courses 
sadness,  came picked ipod jam session over
joy,woooooooo finished unit 3 portfolio start unit 4 #sarcastichashtag
sadness,told friend going mexico good
fear,“  afraid tomorrow seen yesterday love today #less”
joy,okay im pretty tired now going home soon probs sleep till like 430 class 9  hahaha
fear,poor frightened girl packed things ran  saying going reno divorce 
anger,yeah  attitude great  ’ unreliable  ’ productive  times  tuesday instance  fortyfive minutes late morning meeting 
sadness,moment heart feels like stabbed hard swallow
fear,tender age friend left party proceeded walk dark secluded streets bad neighborhood find telephone (recent spate horror movie watching occurred)
joy,jenny sat contented smile face interchange mother repressed irritation anger husband s remarks 
joy,text like 3 pages worth feelings amp reply shitty ass quotsorryquot gtgtgt #sike
fear,je suis le seul à la gare routière sans car à attendre alors que le mien dans 7 minutes
sadness,  yea doubt come new york antigun laws
joy,  :) re: gt mention fresh destination provides dedicated room studio :p
joy,time spent laughing time spent gods  japanese proverb
joy,babys coming home today (:
joy,work night homework time :/
sadness,away defence debate dr mowlam yesterday spoke despair growing homeless problem constituency 
joy,going miss 
sadness,iqam chosen lecture best friend not angry help him
sadness,woman  job busy life  surprised find sad felt children left home quick succession 
surprise,feel worse cant sleep #itsgonnabealongnight
fear,loneliness cause bad effect expect lowest tolerance it want im reading
joy,what aint mo wine jesus pass water please thirsty #shift
joy,finally apartments right switched cable provider opened golf channel too
sadness,meeting difficulties experiment  hardly 
surprise,crying happen today joy grief
neutral,oh  
surprise,want pillow pet christmas
anger,people broke computer figured wrong die house fire
fear,mon prof dsvt est flippant
sadness,soon home ill ready campus
joy,monday rolls around life school consist practice chiropractor
anger,  started stupid song orientated them
fear,aggie looked horrified caught sight horse dung hobnailed boots 
anger,feeling big hatred boys younger right #dweebs
fear,  si anche quella non sono niente brava çç io il 20 ho ricevimenti generali con genitori d:
fear,scared went examination hall msc examination studied limited partion course thoroughly great doubt asked
sadness,cant sing right sore throat love song too
fear,horrible premonition vince young winning tonite stretch  vick ends playing qb jets year
surprise,found im gonna sarah bo barah ny day eggcitement :)
anger,boyfriend promised game tennis rang saying going pub friends instead
sadness,truth mr wolski sad  wish stay zoo longer 
joy,’ excited  mother  oh  new baby 
fear,  gotta feel  #sing anyway :) (said me girl child soloist (i good  semipro)
fear,mom  dad  come room  think bed 
joy,  great holiday wknd ) got love family moments happy birthday grams #family
joy,  happy beloved birthday good orgy ur wonderful day n #husband
sadness,weird friends class today #life #nostaligia
surprise,looks like   ampamp wild berry gummies   told throw   =)
sadness,walk town centre long invigorate short avoid getting miserable cold 
joy,  whoa got bargained asked cheese sauce good white bruddah cookin lasagna
sadness,news conference royal geographical society london  described mental physical anguish 95day trek 
joy,achieved 6 university long string 3s 4s 5s (7 highest mark awarded 3 conceded pass)
sadness,  tutta quella fantasia nel nuovo flyer farina di quale sacco
joy,blasting   dance tonight song brings :d
anger,text know read it text back #thatslife
anger,ohhhh stress guys waste time
sadness,funeral friend killed car accident age friends present family etc
sadness,sumpah gue rindu lo gue kangen lo hanyalah lo yg gue pikirin saat ini
joy,estate agents overjoyed election result 
sadness, heartbroken football life  
anger,doctor looked offended 
joy,god tired hour 20 minutes left work school oh   
anger,scientists  sides noman s land  bitterly indignant points external influences 
fear,  ah ouais daccord jimagine commence à avoir les mêmes à la maison
fear, remember fear exist mind  dale carnegie
joy,half day school today tomorrow going instead dr again back
neutral,im 
sadness,official miss golden brown hair
surprise,  haha dad told first tell jack #surprise
fear,sneezing simultaneously farting
joy,oksometimes finding takes lot effort times comes easily case use #mindfulness find #peace  #lifeisgood
surprise,tweet   happy belated birthday love #threeworlds
shame,jasper reddened pressed lip  farraline looked embarrassed 
sadness,friend called home phoned know wanted told dialled wrong number
fear,nearly knocked cycling
anger,love waking wanting 50 13 year olds arm bar
joy,oh fuck yes brother moving = new room 4
joy,life fun need grab goofy can
sadness,american horror story wwhat head
joy,god think handle lot
joy,great state elation 
joy,seriously matthew atlas listening quotto northquot ep repeat
sadness,got exact mark 3 arabic exams   5air 
joy,love burning hand 600 degree ovens
sadness,hoy comprobé que cuando se esta en la oscuridad hasta la misma sombra lo abandona uno
fear,ppl think getting loud suppose heart way
anger,0o wrote that b tired rt   #angure rt   damn red angure tweet
joy,today day rejoice + glad it
sadness,ik ben al vanaf 2 uur bezig voor school djeeez en hett nog wel vrijdag :o
sadness,  feel pain man
joy,faith feet god wings
neutral,sounds good  lets 
surprise,hè hè net 80% klaar van morgen nog schilderen
fear,“   afraid tomorrow seen yesterday love today #less quot
anger,sent book friend mine book meant lot lost it
anger, reminded morning 
anger,looked furious saw faces peering frantic signs close curtains 
joy,ah getting mood week great lineup workshops and important people ahead #people #web #futures
joy,fucking late work
fear,hyenas crying noise window bedroom home preparing mce examination night
